017000,CAZA ORDINARIA Y MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS,SI,1,SI
Código,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES,Afecto a IVA,Categoría Tributaria,Disponible Internet
021001,EXPLOTACIÓN DE VIVEROS FORESTALES,SI,1,SI
021002,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES (EXCEPTO EXPLOTACIÓN DE VIVEROS FORESTALES),SI,1,SI
Código,EXTRACCIÓN DE MADERA,Afecto a IVA,Categoría Tributaria,Disponible Internet
022000,EXTRACCIÓN DE MADERA,SI,1,SI
Código,RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA,Afecto a IVA,Categoría Tributaria,Disponible Internet
023000,RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA,SI,1,SI
Código,SERVICIOS DE APOYO A LA SILVICULTURA,Afecto a IVA,Categoría Tributaria,Disponible Internet
024001,SERVICIOS DE FORESTACIÓN A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,SI,1,SI
024002,SERVICIOS DE CORTA DE MADERA A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,SI,1,SI
024003,SERVICIOS DE EXTINCIÓN Y PREVENCIÓN DE INCENDIOS FORESTALES,SI,1,SI
024009,OTROS SERVICIOS DE APOYO A LA SILVICULTURA N.C.P.,SI,1,SI
Código,PESCA,Afecto a IVA,Categoría Tributaria,Disponible Internet
031110,"PESCA MARÍTIMA INDUSTRIAL, EXCEPTO DE BARCOS FACTORÍA",SI,1,SI
031120,PESCA MARÍTIMA ARTESANAL,SI,1,SI
031130,RECOLECCIÓN Y EXTRACCIÓN DE PRODUCTOS MARINOS,SI,1,SI
031140,SERVICIOS RELACIONADOS CON LA PESCA MARÍTIMA,SI,1,SI
031200,PESCA DE AGUA DULCE,SI,1,SI
Código,ACUICULTURA,Afecto a IVA,Categoría Tributaria,Disponible Internet
032110,CULTIVO Y CRIANZA DE PECES MARINOS,SI,1,SI
032120,"CULTIVO, REPRODUCCIÓN Y MANEJO DE ALGAS MARINAS",SI,1,SI
032130,"REPRODUCCIÓN Y CRÍA DE MOLUSCOS, CRUSTÁCEOS Y GUSANOS MARINOS",SI,1,SI
032140,SERVICIOS RELACIONADOS CON LA ACUICULTURA MARINA,SI,1,SI
032200,ACUICULTURA DE AGUA DULCE,SI,1,SI
