Código,ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS,Afecto a IVA,Categoría Tributaria,Disponible Internet
681011,ALQUILER DE BIENES INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS,SI,1,SI
681012,"COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES",G,1,SI
681020,SERVICIOS IMPUTADOS DE ALQUILER DE VIVIENDAS,G,1,SI
Código,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,Afecto a IVA,Categoría Tributaria,Disponible Internet
682000,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,G,G,SI
